user_id,star_num,f_num,f_name
0,276,4,1
0,5,4,1
0,278,4,1
0,5,3,1
0,12,3,1
0,33,4,1
0,36,4,1
0,70,4,1
0,320,4,1
0,184,3,1
0,56,5,1
0,278,5,1
0,30,5,1
0,0,4,1
0,157,5,1
0,201,5,1
0,254,5,1
0,258,5,1
0,31,5,1
0,319,5,1
0,56,4,1
0,144,4,1
0,206,4,1
0,5,5,1
0,26,5,1
0,33,5,1
0,176,5,1
0,197,5,1
0,176,4,1
0,49,5,1
0,132,5,1
0,321,5,1
0,70,5,1
0,302,5,1
0,295,5,1
0,281,5,1
0,0,5,1
0,186,5,1
0,223,5,1
0,8,5,1
0,163,4,1
0,170,4,1
0,29,3,1
0,30,3,1
0,31,3,1
0,40,3,1
0,56,3,1
0,70,3,1
0,92,3,1
0,94,3,1
0,100,3,1
0,4,3,1
0,176,3,1
0,31,4,1
0,15,4,1
0,51,4,1
0,134,4,1
0,151,5,1
0,1,3,1
0,15,3,1
0,296,4,1
0,301,4,1
0,319,4,1
0,15,5,1
0,288,4,1
0,4,5,1
0,276,5,1
0,272,5,1
0,43,5,1
0,68,5,1
0,129,5,1
0,147,5,1
0,284,5,1
0,287,5,1
0,40,5,1
0,32,4,1
0,38,4,1
0,3,3,1
0,33,3,1
0,36,1,1
0,70,1,1
0,158,4,1
0,0,3,1
0,126,3,1
0,36,5,1
0,260,5,1
0,265,5,1
1,5,4,1
1,88,4,1
1,133,4,1
1,51,4,1
1,56,4,1
1,90,4,1
1,94,4,1
1,278,4,1
1,8,4,1
1,1,3,1
1,15,3,1
1,126,3,1
1,56,5,1
1,278,5,1
1,2,4,1
1,18,4,1
1,43,4,1
1,68,4,1
1,129,4,1
1,147,4,1
1,5,3,1
1,123,3,1
1,158,4,1
1,165,4,1
1,290,4,1
1,36,5,1
1,70,5,1
1,127,5,1
1,302,4,1
1,0,5,1
1,5,5,1
1,7,5,1
1,39,5,1
1,132,5,1
1,0,4,1
1,132,4,1
1,3,4,1
1,36,4,1
1,70,4,1
1,276,4,1
1,287,4,1
1,39,4,1
1,32,4,1
1,284,4,1
1,15,4,1
1,33,4,1
1,49,4,1
1,53,4,1
1,161,4,1
1,278,3,1
2,56,4,1
2,68,5,1
2,70,5,1
2,81,5,1
2,126,5,1
2,126,4,1
2,302,4,1
2,308,4,1
2,51,5,1
2,56,5,1
2,133,5,1
2,160,5,1
2,33,4,1
2,36,4,1
2,49,4,1
2,70,4,1
2,276,5,1
2,186,5,1
2,278,4,1
2,281,4,1
2,5,5,1
2,151,5,1
2,168,5,1
2,288,5,1
2,33,5,1
2,43,5,1
2,44,5,1
2,129,5,1
2,147,5,1
2,36,5,1
2,4,4,1
2,5,4,1
2,254,4,1
2,56,3,1
2,1,5,1
2,15,5,1
2,184,4,1
2,5,3,1
2,70,3,1
2,39,5,1
2,302,5,1
2,12,4,1
2,151,4,1
2,33,3,1
2,71,3,1
2,0,5,1
2,42,5,1
2,49,5,1
2,127,5,1
2,186,3,1
2,277,3,1
2,31,4,1
2,31,2,1
2,56,2,1
2,172,2,1
2,26,4,1
2,2,5,1
2,8,5,1
2,20,5,1
2,127,4,1
2,295,4,1
2,12,5,1
2,278,5,1
2,278,3,1
2,287,3,1
2,68,4,1
2,51,4,1
2,31,5,1
2,133,4,1
2,285,5,1
2,285,3,1
2,123,4,1
2,0,4,1
2,166,5,1
2,40,5,1
2,1,3,1
2,15,3,1
2,151,3,1
2,184,5,1
2,163,4,1
2,170,4,1
2,36,3,1
2,133,3,1
2,40,4,1
2,2,4,1
2,175,5,1
3,56,5,1
3,278,5,1
3,290,5,1
3,281,5,1
3,300,5,1
3,33,5,1
3,5,5,1
3,12,5,1
3,70,5,1
4,133,5,1
4,70,4,1
5,8,5,1
5,276,5,1
5,43,5,1
5,278,5,1
5,5,5,1
5,70,5,1
5,33,5,1
5,141,5,1
5,15,5,1
5,151,5,1
6,70,5,1
6,319,5,1
6,5,5,1
6,12,5,1
6,56,5,1
6,175,5,1
6,278,5,1
6,33,5,1
6,36,5,1
6,38,5,1
6,72,5,1
6,186,5,1
6,126,5,1
6,160,5,1
6,2,4,1
6,5,4,1
6,43,4,1
6,44,4,1
6,51,4,1
6,56,4,1
6,70,4,1
6,151,4,1
6,319,4,1
7,175,5,1
7,319,5,1
7,5,5,1
7,12,5,1
7,49,5,1
7,151,5,1
7,166,5,1
7,126,5,1
7,90,5,1
7,94,5,1
7,56,5,1
7,133,5,1
7,206,5,1
7,2,5,1
7,36,5,1
7,39,5,1
7,70,5,1
7,123,5,1
7,160,5,1
7,138,5,1
7,9,5,1
7,31,5,1
7,295,5,1
7,8,5,1
7,42,5,1
7,172,5,1
7,174,5,1
7,323,5,1
7,147,5,1
7,1,5,1
7,15,5,1
7,168,5,1
7,56,4,1
7,144,5,1
8,56,2,1
8,36,5,1
8,56,5,1
8,70,5,1
8,30,1,1
8,175,1,1
8,70,4,1
9,56,4,1
9,278,4,1
9,281,4,1
9,8,5,1
9,70,5,1
9,51,5,1
9,56,5,1
9,33,5,1
9,36,5,1
10,278,4,1
10,141,4,1
10,0,4,1
10,5,4,1
10,70,4,1
10,43,4,1
10,44,4,1
10,56,4,1
10,68,4,1
10,129,4,1
10,147,4,1
10,49,4,1
10,160,4,1
10,33,4,1
10,36,4,1
10,39,4,1
10,52,4,1
10,88,4,1
10,127,4,1
10,133,4,1
10,132,4,1
10,175,4,1
10,319,4,1
10,123,4,1
10,136,4,1
10,81,4,1
10,22,4,1
10,72,4,1
10,51,4,1
10,276,4,1
10,1,4,1
10,15,4,1
10,19,4,1
10,151,4,1
10,254,4,1
10,256,4,1
10,5,3,1
10,9,3,1
10,12,3,1
10,36,3,1
10,49,3,1
10,51,3,1
10,56,3,1
10,70,3,1
10,51,5,1
10,56,5,1
10,12,4,1
10,28,4,1
10,158,4,1
10,165,4,1
10,223,4,1
10,254,3,1
10,295,4,1
10,33,3,1
10,39,3,1
10,31,4,1
10,69,4,1
10,184,4,1
10,160,3,1
10,190,3,1
10,80,4,1
11,186,5,1
11,132,5,1
11,93,5,1
11,94,5,1
11,5,5,1
11,1,5,1
11,15,5,1
11,319,5,1
11,56,5,1
11,30,5,1
11,37,5,1
11,151,5,1
11,168,5,1
11,184,5,1
11,276,5,1
11,32,5,1
11,33,5,1
11,36,5,1
11,70,5,1
11,133,5,1
11,43,5,1
11,68,5,1
11,129,5,1
11,147,5,1
11,12,5,1
11,323,5,1
12,0,5,1
12,5,5,1
12,56,5,1
12,51,5,1
12,70,5,1
12,91,5,1
12,94,5,1
12,126,4,1
12,3,5,1
12,31,5,1
12,32,5,1
12,36,5,1
12,49,4,1
12,151,4,1
12,166,4,1
12,278,5,1
12,290,5,1
12,302,5,1
12,5,4,1
12,70,4,1
12,184,5,1
12,319,5,1
12,277,5,1
12,281,5,1
13,299,4,1
13,70,4,1
13,5,4,1
13,124,4,1
13,133,4,1
13,90,4,1
13,94,4,1
13,56,3,1
14,278,5,1
14,175,5,1
14,30,5,1
14,126,5,1
14,186,5,1
14,70,5,1
14,276,4,1
14,319,4,1
14,126,3,1
14,33,3,1
14,51,3,1
14,56,3,1
14,276,3,1
14,1,4,1
14,15,4,1
14,151,4,1
14,5,4,1
14,7,4,1
14,49,4,1
14,1,3,1
14,15,3,1
14,70,3,1
14,4,3,1
14,5,3,1
14,254,3,1
14,323,3,1
14,56,4,1
15,133,5,1
15,223,5,1
15,254,5,1
15,158,5,1
15,276,5,1
15,30,5,1
15,278,5,1
15,184,5,1
15,133,1,1
15,278,1,1
15,1,4,1
15,15,4,1
15,49,4,1
15,2,5,1
15,5,5,1
15,92,5,1
15,94,5,1
15,100,5,1
15,56,5,1
15,160,5,1
16,33,4,1
16,36,4,1
16,39,4,1
16,56,4,1
16,70,4,1
16,176,4,1
16,67,4,1
16,133,4,1
16,31,4,1
16,38,4,1
16,278,4,1
16,49,4,1
16,132,4,1
16,68,4,1
16,129,4,1
16,147,4,1
16,144,4,1
17,278,4,1
17,56,1,1
17,56,4,1
17,184,4,1
17,56,5,1
17,5,3,1
17,32,3,1
17,36,3,1
17,51,3,1
17,56,3,1
17,70,3,1
17,132,3,1
17,127,5,1
17,151,5,1
17,168,5,1
17,184,5,1
17,36,4,1
17,68,4,1
17,70,4,1
17,4,5,1
17,5,5,1
17,36,5,1
17,39,5,1
17,70,5,1
17,2,5,1
17,15,5,1
17,176,5,1
17,133,4,1
18,56,5,1
18,278,5,1
18,279,5,1
18,290,5,1
18,0,5,1
18,1,5,1
18,5,5,1
18,15,5,1
18,151,5,1
18,2,5,1
18,36,5,1
18,70,5,1
18,302,5,1
18,147,5,1
18,184,3,1
18,4,2,1
18,5,2,1
18,49,2,1
18,132,2,1
18,1,3,1
18,15,3,1
18,31,3,1
18,56,3,1
18,151,3,1
18,287,5,1
18,56,4,1
18,0,4,1
18,2,4,1
18,5,4,1
18,40,4,1
18,32,5,1
18,319,5,1
20,176,5,1
20,70,5,1
20,5,4,1
20,31,4,1
20,47,4,1
20,56,4,1
20,70,4,1
20,56,5,1
20,133,5,1
20,5,5,1
20,12,5,1
20,7,5,1
21,5,4,1
21,12,4,1
21,276,4,1
21,284,4,1
21,5,5,1
21,12,5,1
21,56,5,1
21,10,5,1
21,56,4,1
21,70,5,1
21,71,5,1
21,94,5,1
21,278,5,1
21,319,5,1
21,133,4,1
21,51,4,1
22,93,5,1
22,94,5,1
22,158,4,1
22,5,5,1
22,56,5,1
22,90,5,1
22,56,4,1
22,15,4,1
22,165,4,1
22,5,4,1
22,7,4,1
22,70,4,1
22,70,5,1
22,126,5,1
22,160,5,1
22,132,5,1
22,88,2,1
22,91,2,1
22,94,2,1
22,276,5,1
22,284,5,1
22,285,5,1
22,31,3,1
22,56,3,1
22,68,3,1
23,70,5,1
23,278,5,1
23,158,5,1
23,165,5,1
23,56,5,1
23,15,5,1
23,276,4,1
23,284,4,1
23,184,5,1
24,5,3,1
24,65,3,1
24,70,3,1
24,206,3,1
24,43,3,1
24,91,4,1
24,94,4,1
24,184,3,1
24,104,3,1
24,126,4,1
24,123,4,1
24,138,4,1
24,70,4,1
24,175,4,1
24,190,5,1
24,70,5,1
24,68,4,1
24,69,4,1
24,56,3,1
24,56,5,1
24,126,5,1
24,132,5,1
24,101,3,1
25,30,5,1
25,36,3,1
25,70,3,1
25,132,3,1
25,68,5,1
25,56,3,1
25,68,3,1
25,56,5,1
25,88,5,1
25,94,5,1
25,133,5,1
25,15,3,1
25,90,3,1
25,92,3,1
25,94,3,1
25,100,3,1
25,5,5,1
25,7,5,1
25,36,5,1
25,39,5,1
25,70,5,1
25,254,5,1
25,256,5,1
25,5,3,1
25,8,5,1
25,43,3,1
25,44,3,1
25,7,3,1
25,33,3,1
25,132,5,1
25,33,4,1
25,36,4,1
25,70,4,1
25,133,3,1
25,49,5,1
25,123,5,1
25,213,5,1
25,278,3,1
25,12,5,1
25,2,5,1
25,0,5,1
25,52,5,1
25,1,5,1
25,15,5,1
25,295,5,1
25,46,5,1
25,55,5,1
25,56,2,1
25,68,2,1
25,129,2,1
25,147,2,1
25,72,3,1
25,254,3,1
25,256,3,1
25,44,5,1
25,120,5,1
25,129,5,1
25,147,5,1
25,26,5,1
25,65,3,1
25,206,3,1
25,26,3,1
25,123,3,1
25,43,5,1
25,4,3,1
25,31,3,1
25,121,5,1
25,127,5,1
25,65,5,1
25,206,5,1
25,4,5,1
25,88,3,1
26,0,4,1
26,5,4,1
26,49,4,1
26,70,4,1
26,278,5,1
26,8,5,1
26,36,5,1
26,56,5,1
26,70,5,1
26,1,3,1
26,5,3,1
26,15,3,1
26,161,3,1
26,176,3,1
26,319,5,1
27,291,4,1
27,56,5,1
27,126,5,1
27,132,5,1
27,294,4,1
27,68,4,1
27,291,5,1
27,278,4,1
27,56,3,1
27,223,3,1
27,10,3,1
27,287,4,1
27,36,5,1
27,41,5,1
27,70,5,1
27,5,3,1
27,70,3,1
27,206,5,1
28,5,5,1
28,56,5,1
28,68,5,1
28,70,5,1
28,198,5,1
28,147,5,1
28,0,5,1
28,33,5,1
28,132,5,1
28,278,5,1
28,1,3,1
28,15,3,1
28,56,3,1
28,56,4,1
28,36,5,1
28,39,5,1
28,126,4,1
28,278,4,1
28,34,5,1
28,175,5,1
28,223,5,1
28,254,5,1
28,2,5,1
28,144,5,1
28,160,5,1
28,15,5,1
28,219,5,1
28,126,5,1
28,288,5,1
28,319,5,1
29,56,4,1
29,184,3,1
29,33,4,1
29,70,4,1
29,72,4,1
29,278,4,1
29,49,4,1
29,1,4,1
29,15,4,1
29,132,4,1
29,31,4,1
29,133,4,1
29,319,4,1
29,36,4,1
29,39,4,1
29,151,4,1
29,2,4,1
29,5,4,1
29,0,4,1
30,15,4,1
30,133,4,1
30,36,5,1
30,70,5,1
30,278,5,1
30,278,4,1
30,288,3,1
30,281,4,1
30,5,4,1
30,51,4,1
30,56,4,1
30,70,4,1
30,36,3,1
30,39,3,1
30,68,3,1
30,70,3,1
30,76,3,1
30,299,4,1
31,17,4,1
31,56,4,1
31,30,4,1
32,56,5,1
32,184,5,1
32,70,5,1
33,163,5,1
33,36,5,1
33,56,5,1
33,70,5,1
33,2,4,1
33,5,4,1
33,123,4,1
33,323,5,1
33,68,5,1
33,278,5,1
33,33,4,1
33,36,4,1
33,49,4,1
33,56,4,1
33,70,4,1
33,127,4,1
33,5,5,1
33,94,5,1
33,90,5,1
33,126,5,1
33,160,5,1
33,190,5,1
33,30,5,1
33,157,5,1
34,160,5,1
34,190,5,1
34,70,5,1
34,31,5,1
34,56,5,1
34,132,2,1
34,277,5,1
35,5,4,1
35,7,4,1
35,36,5,1
35,39,5,1
35,70,5,1
35,133,5,1
35,319,3,1
36,56,3,1
36,176,3,1
36,5,5,1
36,0,2,1
36,5,2,1
36,56,2,1
36,70,5,1
36,56,5,1
36,133,5,1
36,206,5,1
36,176,4,1
37,104,5,1
37,5,3,1
37,70,3,1
37,93,3,1
37,94,3,1
37,278,4,1
37,290,4,1
37,51,5,1
37,56,5,1
37,33,3,1
37,56,3,1
37,223,5,1
37,276,4,1
37,132,5,1
37,278,5,1
37,281,5,1
37,70,4,1
37,126,5,1
38,56,5,1
38,70,5,1
38,71,5,1
38,5,5,1
38,7,5,1
38,126,5,1
38,223,5,1
38,43,5,1
38,44,5,1
38,68,5,1
38,129,5,1
38,147,5,1
38,319,5,1
38,26,5,1
38,49,5,1
38,123,5,1
38,287,5,1
38,254,5,1
38,56,4,1
38,12,5,1
38,4,5,1
38,323,5,1
39,5,5,1
39,276,5,1
39,56,5,1
39,287,4,1
39,56,4,1
39,104,5,1
39,68,4,1
39,70,4,1
39,302,4,1
40,123,5,1
40,175,5,1
40,183,5,1
40,283,5,1
40,70,5,1
40,5,5,1
40,43,5,1
40,56,5,1
40,302,4,1
40,319,4,1
40,8,5,1
40,68,5,1
40,56,1,1
