user_id,star_num,f_num,f_name
0,27,5,1
0,33,3,1
0,124,3,1
0,44,3,1
0,82,5,1
0,263,5,1
0,84,3,1
0,86,3,1
0,93,3,1
0,6,5,1
0,33,5,1
0,36,5,1
0,241,5,1
0,243,5,1
0,7,5,1
0,40,3,1
0,41,3,1
0,6,3,1
0,30,3,1
0,124,5,1
0,30,4,1
0,33,4,1
0,46,5,1
0,200,5,1
0,11,5,1
0,2,5,1
0,0,5,1
0,49,5,1
0,1,5,1
0,280,5,1
0,43,5,1
0,52,5,1
0,121,2,1
0,138,2,1
0,66,3,1
0,241,3,1
0,243,3,1
0,41,5,1
0,113,5,1
0,121,5,1
0,138,5,1
0,84,5,1
0,85,5,1
0,24,5,1
0,61,3,1
0,193,3,1
0,24,3,1
0,40,5,1
0,4,3,1
0,28,3,1
0,114,5,1
0,119,5,1
0,61,5,1
0,193,5,1
0,4,5,1
1,0,4,1
1,46,4,1
1,7,5,1
2,263,4,1
2,265,4,1
2,276,4,1
2,118,5,1
2,124,5,1
2,279,4,1
2,265,5,1
2,273,5,1
2,276,5,1
2,263,5,1
2,266,5,1
2,271,5,1
2,267,4,1
2,210,3,1
3,185,5,1
3,138,5,1
3,0,5,1
3,30,5,1
3,124,5,1
3,1,3,1
3,33,5,1
3,36,5,1
3,118,4,1
3,31,5,1
3,164,5,1
3,210,5,1
3,241,5,1
4,171,3,1
4,30,4,1
4,66,4,1
4,46,4,1
4,1,4,1
4,124,4,1
4,28,4,1
4,304,4,1
4,33,4,1
4,36,4,1
4,142,4,1
4,2,4,1
1,304,5,1
1,33,5,1
1,121,5,1
1,138,5,1
1,1,3,1
1,151,3,1
1,124,4,1
1,142,4,1
2,9,3,1
2,273,4,1
2,29,5,1
2,30,5,1
2,33,5,1
2,38,5,1
2,193,5,1
3,2,5,1
3,135,5,1
3,150,5,1
3,206,5,1
3,118,5,1
3,274,5,1
3,304,5,1
4,0,4,1
5,33,5,1
5,28,3,1
5,274,3,1
5,48,4,1
5,267,4,1
5,33,3,1
5,36,3,1
5,70,3,1
5,284,4,1
6,15,4,1
6,27,4,1
7,153,5,1
7,30,5,1
7,33,5,1
7,2,4,1
7,307,5,1
7,30,4,1
7,33,4,1
7,46,4,1
7,119,4,1
7,27,4,1
7,34,4,1
7,84,5,1
7,1,5,1
7,17,5,1
7,118,5,1
7,150,5,1
7,177,5,1
7,27,5,1
7,147,5,1
8,150,5,1
8,177,5,1
8,28,5,1
8,124,2,1
9,6,4,1
9,33,5,1
9,36,5,1
9,304,3,1
10,0,2,1
10,193,5,1
11,97,5,1
11,119,2,1
11,127,2,1
11,240,2,1
11,241,2,1
11,87,3,1
11,48,5,1
11,30,3,1
11,173,5,1
11,210,5,1
11,263,4,1
11,124,5,1
11,267,5,1
11,118,5,1
12,65,5,1
12,6,5,1
12,58,5,1
12,1,5,1
12,7,5,1
12,33,5,1
12,36,5,1
12,118,5,1
12,210,5,1
12,28,5,1
12,40,5,1
12,41,5,1
12,121,5,1
12,138,5,1
12,304,5,1
12,24,5,1
12,46,5,1
12,273,5,1
12,164,5,1
12,241,5,1
12,11,5,1
12,4,5,1
12,307,5,1
13,263,5,1
13,273,4,1
13,97,5,1
13,287,4,1
14,164,5,1
14,170,5,1
14,269,5,1
14,40,5,1
14,287,4,1
14,304,4,1
14,7,5,1
15,6,5,1
15,7,5,1
16,173,5,1
16,0,3,1
16,33,3,1
16,0,5,1
16,142,5,1
16,1,4,1
16,15,5,1
17,30,4,1
17,284,4,1
17,118,3,1
17,7,4,1
17,8,5,1
17,11,5,1
17,30,5,1
17,124,5,1
17,153,4,1
17,160,4,1
18,6,4,1
18,15,4,1
18,210,4,1
18,241,4,1
18,24,4,1
18,46,4,1
18,304,5,1
19,284,4,1
19,32,5,1
19,0,5,1
19,1,5,1
19,8,5,1
19,11,5,1
19,28,5,1
19,30,5,1
19,50,5,1
19,142,4,1
19,158,4,1
19,118,5,1
19,2,5,1
19,124,5,1
19,142,5,1
19,156,5,1
19,118,4,1
19,307,5,1
19,304,5,1
19,85,5,1
19,118,2,1
19,142,2,1
19,158,2,1
19,6,4,1
19,61,4,1
19,193,4,1
19,265,5,1
19,6,3,1
19,28,3,1
19,58,3,1
19,33,5,1
19,36,5,1
19,64,5,1
20,1,3,1
20,22,3,1
20,132,3,1
20,125,4,1
20,188,4,1
20,304,4,1
20,142,5,1
20,164,5,1
20,165,5,1
20,27,4,1
20,286,4,1
20,287,4,1
20,2,4,1
20,48,4,1
20,124,4,1
20,124,5,1
20,75,4,1
20,191,4,1
20,56,5,1
20,119,5,1
20,161,5,1
20,163,5,1
20,118,4,1
20,48,5,1
20,138,5,1
20,33,4,1
20,38,4,1
20,276,4,1
20,2,5,1
20,16,5,1
20,33,5,1
20,74,4,1
20,129,4,1
21,0,4,1
21,171,5,1
21,11,5,1
22,28,4,1
22,125,4,1
22,138,4,1
22,193,4,1
22,24,4,1
22,124,4,1
22,124,3,1
22,279,4,1
22,46,4,1
22,142,4,1
22,156,4,1
22,210,4,1
22,216,4,1
22,307,4,1
22,0,3,1
22,33,3,1
22,36,3,1
22,46,3,1
23,263,4,1
23,270,4,1
23,164,4,1
23,29,5,1
23,33,5,1
23,210,5,1
24,124,5,1
24,27,5,1
24,52,5,1
24,164,5,1
24,0,4,1
24,37,4,1
24,31,5,1
24,119,5,1
24,273,5,1
24,210,5,1
24,33,5,1
24,36,5,1
24,28,5,1
24,273,4,1
24,3,3,1
24,87,5,1
24,1,5,1
24,304,5,1
25,61,3,1
25,193,3,1
25,40,3,1
25,85,4,1
25,94,3,1
25,171,3,1
26,148,2,1
26,30,5,1
26,33,5,1
26,128,5,1
26,164,4,1
26,118,5,1
26,2,3,1
26,8,3,1
26,11,3,1
26,241,3,1
27,132,4,1
27,0,4,1
27,40,4,1
27,41,4,1
27,121,4,1
27,138,4,1
28,87,5,1
28,0,5,1
29,2,5,1
29,7,5,1
29,48,5,1
29,273,5,1
29,280,5,1
29,284,5,1
29,33,5,1
29,304,5,1
29,263,5,1
